번호,상태,상호명,대표자명,기관구분,지역,주소
1,유지,스타팍스(주),우윤성,,경기,경기 성남시 중원구 은이로 11 (은행동)
2,유지,삼성플러스관광주식회사 ㈜,서영련,,대구,"대구광역시 수성구 알파시티2로 37,"
3,유지,㈜유에스여행,황두연,,서울,"서울특별시 종로구 새문안로 92, 1110호(신문로1가, 광화문오피시아빌딩)"
4,유지,(주)프라자이십일,유원경,,서울,"서울특별시 강동구 천호대로 1073 (천호동, 힐탑프라자)"
5,유지,한나라관광(주),안근배,,서울,"서울특별시 강서구 공항대로 227 (마곡동, 마곡센트럴타워Ⅰ)"
6,유지,주식회사 아시안메이트,최영환,,경기,"경기도 과천시 관문로 92 (중앙동, 힐스테이트 과천중앙)"
7,유지,㈜ 이부커스코리아,박종윤,,서울,"서울특별시 중구 장충단로 212(광희동2가, 2층)"
8,유지,㈜한몽파트너스,강상선,,서울,"서울특별시 용산구 새창로 93, 5층(용문동)"
9,유지,주식회사고려의료관광개발,김재희,,부산,"부산광역시 해운대구 해운대로 875 (좌동, 인제대학교해운대백병원)"
10,유지,하베스트에듀주식회사,윤경호,,서울,"서울특별시 강남구 테헤란로 322, 서관 805호(역삼동, 한신인터밸리24빌딩)"
11,유지,민가,민경태,,서울,서울특별시 종로구 평창21길 41 (평창동)
12,유지,㈜엠디마케팅,국기호,,서울,"서울특별시 서초구 사평대로58길 6 (서초동, 현대썬앤빌 강남 더 인피닛)"
13,유지,(주)달라이몽골투어,툴가락바,,경기,경기도 화성시 동탄기흥로 594-7 (영천동)
14,유지,주식회사비에이치인터내셔널,김봉호,,서울,서울특별시 영등포구 대림동 807-9 대영빌딩3층
15,유지,주식회사포르튜나,OLEYNIK ALLA,,부산,부산광역시 해운대구 재반로112번길 18 (재송동)
16,유지,비엠케이,함루바,,부산,"부산광역시 동구 중앙대로 195번가길 20, 3층(초량동, 씨엠케이빌딩)"
17,유지,주식회사 엠제이루스코,박근우,,광주,"광주광역시 서구 상무중앙로 7 (치평동, 상무타워)"
18,유지,폴리테스트코리아 ㈜,GROMOVA ELENA,,부산,"부산광역시 중구 충장대로9번길 29(중앙동4가, 501호)"
19,유지,주식회사 오픈베이,한태준,,서울,"서울특별시 서초구 강남대로95길 9-25 (잠원동, YJ빌딩)"
20,유지,주식회사 아메디스,크람첸코 안드레이,,서울,"서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스)"
21,유지,메디엔인터내셔날,우태제,,인천,"인천광역시 서구 봉오재2로 37 (가정동, 엘에이치웨스턴블루힐)"
22,유지,㈜글로벌그룹,김연아,,경남,"경상남도 양산시 동면 내송큰들로 84 (내송리, 사송 트루엘)"
23,유지,주식회사 비티메디,주형진,,경기,"경기도 고양시 일산동구 고봉로 32-19 (장항동, 남정씨티프라자7차)"
