번호,상태,상호명,대표자명,기관구분,지역
1,유지,제이케이성형외과의원,주권,의원,서울
2,유지,자생한방병원,신준식,한방병원,서울
3,유지,경북대학교병원,양동헌,상급종합병원,대구
4,유지,좋은문화병원,문화숙외 1명,종합병원,부산
5,유지,드림성형외과의원,박양수,의원,서울
6,유지,건국대학교병원,유광하,상급종합병원,서울
7,유지,씨엠병원,이상훈,종합병원,서울
8,유지,좋은강안병원,구자성,종합병원,부산
9,유지,조선대학교병원,최남규,상급종합병원,광주
10,유지,대영성형외과의원,안동현,의원,서울
11,유지,예송이비인후과의원,김형태,의원,서울
12,유지,에이치제이매그놀리아요양병원,이진우,기타,경기
13,유지,삼성서울병원,박승우,상급종합병원,서울
14,유지,유씨강남치과의원,정해웅,치과의원,서울
15,유지,오킴스피부과의원,조항래,의원,경기
16,유지,지에스안과의원,김무연,의원,서울
17,유지,에이치제이매그놀리아국제병원,이기만,병원,경기
18,유지,동아대학교병원, 이해우,상급종합병원,부산
19,유지,의료법인 명지의료재단 명지병원,이왕준,종합병원,경기
20,유지,이화여자대학교의과대학부속목동병원,유경하,상급종합병원,서울
21,유지,(재)한국의학연구소 부산분사무소,이광배,의원,부산
22,유지,(재)한국의학연구소 대구분사무소,이광배,의원,대구
23,유지,(재)한국의학연구소 광주분사무소,이광배,의원,광주
24,유지,(재)한국의학연구소 KMI경기의원,이광배,의원,경기
25,유지,재단법인 한국의학연구소 강남의원,이광배,의원,서울
26,유지,(재)한국의학연구소 케이엠아이여의도의원,이광배,의원,서울
27,유지,강남삼성성형외과의원,박영진,의원,서울
28,유지,허쉬성형외과의원,정영춘 ,의원,서울
29,유지,의료법인경동의료재단효성병원,박경동,병원,대구
30,유지,아이디병원,박상훈,병원,서울
31,유지,서울대학교병원,백남종,상급종합병원,서울
32,유지,순천향대학교 부속 서울병원,서교일,종합병원,서울
33,유지,순천향대학교 부속 부천병원,서교일,상급종합병원,경기
34,유지,삼육서울병원,양거승,종합병원,서울
35,유지,차의과학대학교 강남차병원,김춘복,종합병원,서울
36,유지,에스플란트치과병원,손병섭 외 5명,치과병원,서울
37,유지,글로벌성형외과의원,최오규,의원,서울
38,유지,온누리수의원,이소영,의원,대전
39,유지,초이스피부과의원,양성규,의원,서울
40,유지,의료법인 토마스의료재단(윌스기념병원),박춘근,종합병원,경기
41,유지,한길안과병원,정규형,병원,인천
42,유지,서울대학교병원 강남의원,윤영호,의원,서울
43,유지,경희대학교병원,오주형,상급종합병원,서울
44,유지,경희대학교 치과병원,김형섭,치과병원,서울
45,유지,경희대학교 한방병원,정희재,한방병원,서울
46,유지,한양대학교병원,이형중,상급종합병원,서울
47,유지,뷰성형외과의원,최순우,의원,서울
48,유지,대경영상의학과의원,이기만 외 8명,의원,대구
49,유지,연세대학교 의과대학 세브란스병원,금기창,상급종합병원,서울
50,유지,서울아산병원,박승일,상급종합병원,서울
51,유지,충남대학교병원,조강희,상급종합병원,대전
52,유지,의료법인 길의료재단 길병원,이태훈,상급종합병원,인천
53,유지,부민병원,정흥태,종합병원,부산
54,유지,가톨릭대학교 서울성모병원,이지열,상급종합병원,서울
55,유지,구미강동병원,신재학,종합병원,경북
56,유지,화순전남대학교병원,이완식,상급종합병원,전남
57,유지,국립암센터,양한광,종합병원,경기
58,유지,의료법인 아인의료재단 아인병원,오익환,병원,인천
59,유지,강남베드로병원,윤강준,종합병원,서울
60,유지,덕영치과병원,박준홍,치과병원,대구
61,유지,호산여성병원,방장훈,병원,서울
62,유지,우리들병원,이상호,병원,서울
63,유지,제이앤성형외과의원,조주원,의원,서울
64,유지,하늘성형외과의원,김성호,의원,부산
65,유지,우리들병원,백운기,종합병원,서울
66,유지,인하대학교의과대학부속병원 (인하대병원),이택,상급종합병원,인천
67,유지,원진성형외과의원,강문석,의원,서울
68,유지,서울밝은세상안과의원,이종호,의원,서울
69,유지,밝은세상안과,박길호 외 1명,의원,부산
70,유지,고운세상 김양제장봉석피부과의원,김양제 외 1명,의원,부산
71,유지,청담고운세상닥터지피부과의원,이창균,의원,서울
72,유지,365mc의원 일산점,양현석,의원,경기
73,유지,서울대학교치과병원,김성균,치과병원,서울
74,유지,양산부산대학교병원,남수봉,상급종합병원,경남
75,유지,전남대학교병원,정신,상급종합병원,광주
76,유지,계명대학교 동산병원,배재훈,상급종합병원,대구
77,유지,조선대학교 치과병원,임성훈,치과병원,광주
78,유지,아름다운나라피부과의원,류지호,의원,서울
79,유지,아름다운나라 피부과의원,이상준,의원,서울
80,유지,비에비스나무병원,홍성수,병원,서울
81,유지,부천세종병원,박진식,종합병원,경기
82,유지,의료법인 목포구암의료재단 목포중앙병원,이승택,종합병원,전남
83,유지,미즈메디병원,노성일,종합병원,서울
84,유지,강동경희대학교병원,이형래,종합병원,서울
85,유지,아주대학교 병원,한상욱,상급종합병원,경기
86,유지,강동경희대학교 한방병원,이형래,한방병원,서울
87,유지,강동경희대학교 치과병원,이형래,치과병원,서울
88,유지,연세대학교 의과대학 강남세브란스병원,김용욱,상급종합병원,서울
89,유지,대전선병원,선두훈,종합병원,대전
90,유지,더블랙성형외과의원,신동필,의원,대구
91,유지,(사) 한국건강관리협회 서울특별시 동부지부,김인원,의원,서울
92,유지,고려대학교 의과대학 부속 안암병원,윤을식,상급종합병원,서울
93,유지,연세스타피부과의원 ,강진문,의원,서울
94,유지,안동병원,강신홍,종합병원,경북
95,유지,중앙대학교병원,이재성,상급종합병원,서울
96,유지,올포스킨피부과의원,민복기,의원,대구
97,유지,면혁한의원,박경호,한의원,대구
98,유지,국립중앙의료원,서길준,종합병원,서울
99,유지,한도병원,성대영,종합병원,경기
100,유지,(사)한국건강관리협회부산광역시동부지부,김인원,의원,부산
101,유지,마리아병원,임진호,병원,서울
102,유지,메디힐의원,김원우,의원,서울
103,유지,비앤빛안과의원,김진국,의원,서울
104,유지,보라안과병원,박진우,병원,광주
105,유지,대항병원,김도선,병원,서울
106,유지,대구파티마병원,김선미,종합병원,대구
107,유지,삼육부산병원,이무화,종합병원,부산
108,유지,국제나은병원,정병주,병원,경기
109,유지,대구한의대한방병원,장우석,한방병원,대구
110,유지,건양대학교병원,배장호,상급종합병원,대전
111,유지,재단법인예수병원유지재단예수병원,임현희,종합병원,전북
112,유지,충북대학교병원,최영석,상급종합병원,충북
113,유지,국민건강보험공단 일산병원,한창훈,종합병원,경기
114,유지,강동성심병원,윤대인,종합병원,서울
115,유지,한국병원,송재승,종합병원,충북
