년,월,체류자격,체류외국인수
2022,01,사증면제B1,163699
2022,01,관광통과B2,41313
2022,01,일시취재C1,20
2022,01,단기방문C3,95642
2022,01,단기취업C4,1779
2022,01,문화예술D1,56
2022,01,유학D2,108871
2022,01,기술연수D3,1633
2022,01,일반연수D4,53339
2022,01,취재D5,128
2022,01,종교D6,1387
2022,01,주재D7,1020
2022,01,기업투자D8,5997
2022,01,무역경영D9,2067
2022,01,구직D10,8063
2022,01,교수E1,2001
2022,01,회화지도E2,13344
2022,01,연구E3,3567
2022,01,기술지도E4,174
2022,01,전문직업E5,261
2022,01,예술흥행E6,3360
2022,01,특정활동E7,20867
2022,01,계절근로E8,376
2022,01,비전문취업E9,218223
2022,01,선원취업E10,18328
2022,01,방문동거F1,94598
2022,01,거주F2,42789
2022,01,동반F3,21310
2022,01,재외동포F4,479042
2022,01,영주F5,169088
2022,01,결혼이민F6,134486
2022,01,기타G1,29928
2022,01,관광취업H1,387
2022,01,방문취업H2,122205
2022,01,기타,88311
2022,02,사증면제B1,163548
2022,02,관광통과B2,41664
2022,02,일시취재C1,27
2022,02,단기방문C3,94865
2022,02,단기취업C4,2224
2022,02,문화예술D1,60
2022,02,유학D2,121637
2022,02,기술연수D3,1663
2022,02,일반연수D4,53682
2022,02,취재D5,139
2022,02,종교D6,1376
2022,02,주재D7,1012
2022,02,기업투자D8,6065
2022,02,무역경영D9,2088
2022,02,구직D10,8454
2022,02,교수E1,2072
2022,02,회화지도E2,14580
2022,02,연구E3,3640
2022,02,기술지도E4,177
2022,02,전문직업E5,254
2022,02,예술흥행E6,3380
2022,02,특정활동E7,21071
2022,02,계절근로E8,359
2022,02,비전문취업E9,219139
2022,02,선원취업E10,18444
2022,02,방문동거F1,93457
2022,02,거주F2,42810
2022,02,동반F3,21648
2022,02,재외동포F4,480845
2022,02,영주F5,169823
2022,02,결혼이민F6,134676
2022,02,기타G1,29733
2022,02,관광취업H1,446
2022,02,방문취업H2,119645
2022,02,기타,87891
2022,03,사증면제B1,163754
2022,03,관광통과B2,42873
2022,03,일시취재C1,19
2022,03,단기방문C3,93921
2022,03,단기취업C4,2304
2022,03,문화예술D1,60
2022,03,유학D2,122640
2022,03,기술연수D3,1655
2022,03,일반연수D4,54398
2022,03,취재D5,138
2022,03,종교D6,1365
2022,03,주재D7,1021
2022,03,기업투자D8,6162
2022,03,무역경영D9,2028
2022,03,구직D10,10267
2022,03,교수E1,2068
2022,03,회화지도E2,13773
2022,03,연구E3,3693
2022,03,기술지도E4,181
2022,03,전문직업E5,246
2022,03,예술흥행E6,3433
2022,03,특정활동E7,21478
2022,03,계절근로E8,344
2022,03,비전문취업E9,220751
2022,03,선원취업E10,18381
2022,03,방문동거F1,92114
2022,03,거주F2,42888
2022,03,동반F3,21645
2022,03,재외동포F4,481995
2022,03,영주F5,170487
2022,03,결혼이민F6,134676
2022,03,기타G1,29712
2022,03,관광취업H1,495
2022,03,방문취업H2,117243
2022,03,기타,88068
2022,04,사증면제B1,170608
2022,04,관광통과B2,54083
2022,04,일시취재C1,19
2022,04,단기방문C3,93586
2022,04,단기취업C4,2442
2022,04,문화예술D1,62
2022,04,유학D2,121176
2022,04,기술연수D3,1726
2022,04,일반연수D4,54392
2022,04,취재D5,141
2022,04,종교D6,1380
2022,04,주재D7,1029
2022,04,기업투자D8,6276
2022,04,무역경영D9,2073
2022,04,구직D10,10268
2022,04,교수E1,2072
2022,04,회화지도E2,13788
2022,04,연구E3,3684
2022,04,기술지도E4,192
2022,04,전문직업E5,240
2022,04,예술흥행E6,3487
2022,04,특정활동E7,22096
2022,04,계절근로E8,1584
2022,04,비전문취업E9,221512
2022,04,선원취업E10,18352
2022,04,방문동거F1,92592
2022,04,거주F2,43001
2022,04,동반F3,21998
2022,04,재외동포F4,483322
2022,04,영주F5,171164
2022,04,결혼이민F6,135119
2022,04,기타G1,29891
2022,04,관광취업H1,671
2022,04,방문취업H2,115927
2022,04,기타,87297
2022,05,사증면제B1,179032
2022,05,관광통과B2,62192
2022,05,일시취재C1,18
2022,05,단기방문C3,93161
2022,05,단기취업C4,2374
2022,05,문화예술D1,62
2022,05,유학D2,121139
2022,05,기술연수D3,1739
2022,05,일반연수D4,55343
2022,05,취재D5,139
2022,05,종교D6,1384
2022,05,주재D7,1057
2022,05,기업투자D8,6380
2022,05,무역경영D9,2175
2022,05,구직D10,10049
2022,05,교수E1,2070
2022,05,회화지도E2,13939
2022,05,연구E3,3724
2022,05,기술지도E4,197
2022,05,전문직업E5,235
2022,05,예술흥행E6,3484
2022,05,특정활동E7,22313
2022,05,계절근로E8,3472
2022,05,비전문취업E9,223374
2022,05,선원취업E10,18502
2022,05,방문동거F1,94354
2022,05,거주F2,43231
2022,05,동반F3,22468
2022,05,재외동포F4,485131
2022,05,영주F5,171867
2022,05,결혼이민F6,135334
2022,05,기타G1,30195
2022,05,관광취업H1,780
2022,05,방문취업H2,114985
2022,05,기타,86963
2022,06,사증면제B1,192899
2022,06,관광통과B2,77156
2022,06,일시취재C1,19
2022,06,단기방문C3,100657
2022,06,단기취업C4,2751
2022,06,문화예술D1,59
2022,06,유학D2,119853
2022,06,기술연수D3,1726
2022,06,일반연수D4,57936
2022,06,취재D5,140
2022,06,종교D6,1408
2022,06,주재D7,1078
2022,06,기업투자D8,6443
2022,06,무역경영D9,2178
2022,06,구직D10,9769
2022,06,교수E1,2061
2022,06,회화지도E2,13901
2022,06,연구E3,3719
2022,06,기술지도E4,199
2022,06,전문직업E5,227
2022,06,예술흥행E6,3525
2022,06,특정활동E7,22255
2022,06,계절근로E8,4581
2022,06,비전문취업E9,225516
2022,06,선원취업E10,19098
2022,06,방문동거F1,96654
2022,06,거주F2,43552
2022,06,동반F3,22696
2022,06,재외동포F4,487989
2022,06,영주F5,172542
2022,06,결혼이민F6,135621
2022,06,기타G1,30873
2022,06,관광취업H1,839
2022,06,방문취업H2,113390
2022,06,기타,82731
2022,07,사증면제B1,200560
2022,07,관광통과B2,73352
2022,07,일시취재C1,18
2022,07,단기방문C3,109184
2022,07,단기취업C4,2828
2022,07,문화예술D1,54
2022,07,유학D2,118098
2022,07,기술연수D3,1741
2022,07,일반연수D4,57592
2022,07,취재D5,138
2022,07,종교D6,1412
2022,07,주재D7,1082
2022,07,기업투자D8,6500
2022,07,무역경영D9,2161
2022,07,구직D10,9461
2022,07,교수E1,2059
2022,07,회화지도E2,13958
2022,07,연구E3,3740
2022,07,기술지도E4,199
2022,07,전문직업E5,219
2022,07,예술흥행E6,3631
2022,07,특정활동E7,22939
2022,07,계절근로E8,5390
2022,07,비전문취업E9,229751
2022,07,선원취업E10,19326
2022,07,방문동거F1,99445
2022,07,거주F2,43827
2022,07,동반F3,23316
2022,07,재외동포F4,491085
2022,07,영주F5,173402
2022,07,결혼이민F6,136153
2022,07,기타G1,32107
2022,07,관광취업H1,976
2022,07,방문취업H2,112463
2022,07,기타,83183
2022,08,사증면제B1,198825
2022,08,관광통과B2,67804
2022,08,일시취재C1,22
2022,08,단기방문C3,114553
2022,08,단기취업C4,3456
2022,08,문화예술D1,60
2022,08,유학D2,141389
2022,08,기술연수D3,1733
2022,08,일반연수D4,58665
2022,08,취재D5,133
2022,08,종교D6,1437
2022,08,주재D7,1076
2022,08,기업투자D8,6560
2022,08,무역경영D9,2163
2022,08,구직D10,9987
2022,08,교수E1,2067
2022,08,회화지도E2,14576
2022,08,연구E3,3907
2022,08,기술지도E4,208
2022,08,전문직업E5,232
2022,08,예술흥행E6,3738
2022,08,특정활동E7,23263
2022,08,계절근로E8,6180
2022,08,비전문취업E9,237297
2022,08,선원취업E10,19579
2022,08,방문동거F1,101389
2022,08,거주F2,44028
2022,08,동반F3,23800
2022,08,재외동포F4,493877
2022,08,영주F5,173936
2022,08,결혼이민F6,136351
2022,08,기타G1,33365
2022,08,관광취업H1,1209
2022,08,방문취업H2,110932
2022,08,기타,85555
2022,09,사증면제B1,206154
2022,09,관광통과B2,80949
2022,09,일시취재C1,23
2022,09,단기방문C3,121124
2022,09,단기취업C4,3761
2022,09,문화예술D1,61
2022,09,유학D2,146227
2022,09,기술연수D3,1763
2022,09,일반연수D4,62069
2022,09,취재D5,135
2022,09,종교D6,1456
2022,09,주재D7,1103
2022,09,기업투자D8,6640
2022,09,무역경영D9,2158
2022,09,구직D10,11634
2022,09,교수E1,2055
2022,09,회화지도E2,14360
2022,09,연구E3,4055
2022,09,기술지도E4,212
2022,09,전문직업E5,225
2022,09,예술흥행E6,3782
2022,09,특정활동E7,23465
2022,09,계절근로E8,5901
2022,09,비전문취업E9,245496
2022,09,선원취업E10,19563
2022,09,방문동거F1,103031
2022,09,거주F2,44074
2022,09,동반F3,24169
2022,09,재외동포F4,496222
2022,09,영주F5,174059
2022,09,결혼이민F6,136176
2022,09,기타G1,34283
2022,09,관광취업H1,1686
2022,09,방문취업H2,110014
2022,09,기타,84193
2022,10,사증면제B1,213339
2022,10,관광통과B2,87911
2022,10,일시취재C1,20
2022,10,단기방문C3,129682
2022,10,단기취업C4,3744
2022,10,문화예술D1,54
2022,10,유학D2,137779
2022,10,기술연수D3,1761
2022,10,일반연수D4,62262
2022,10,취재D5,137
2022,10,종교D6,1463
2022,10,주재D7,1121
2022,10,기업투자D8,6725
2022,10,무역경영D9,2199
2022,10,구직D10,11736
2022,10,교수E1,2049
2022,10,회화지도E2,14320
2022,10,연구E3,4073
2022,10,기술지도E4,209
2022,10,전문직업E5,241
2022,10,예술흥행E6,3910
2022,10,특정활동E7,23800
2022,10,계절근로E8,5153
2022,10,비전문취업E9,253076
2022,10,선원취업E10,19463
2022,10,방문동거F1,104591
