시도,설립구분,학교명,연도,남,여,계
세종시,공립,고운고등학교,2025,0,0,0
세종시,공립,다정고등학교,2025,0,0,0
세종시,공립,도담고등학교,2025,0,0,0
세종시,공립,두루고등학교,2025,0,0,0
세종시,공립,반곡고등학교,2025,0,0,0
세종시,공립,보람고등학교,2025,0,0,0
세종시,공립,새롬고등학교,2025,0,0,0
세종시,공립,세종고등학교,2025,0,0,0
세종시,사립,세종대성고등학교,2025,0,0,0
세종시,공립,세종여자고등학교,2025,0,0,0
세종시,공립,세종캠퍼스고등학교,2025,0,0,0
세종시,공립,소담고등학교,2025,0,0,0
세종시,공립,아름고등학교,2025,0,0,0
세종시,공립,양지고등학교,2025,0,0,0
세종시,공립,종촌고등학교,2025,0,0,0
세종시,공립,한솔고등학교,2025,0,0,0
세종시,공립,해밀고등학교,2025,0,0,0
세종시,공립,세종과학예술영재학교,2025,0,0,0
세종시,공립,세종예술고등학교,2025,0,0,0
세종시,공립,세종국제고등학교,2025,0,0,0
세종시,공립,세종미래고등학교,2025,1,0,1
세종시,공립,세종장영실고등학교,2025,0,0,0
세종시,공립,고운고등학교,2024,0,0,0
세종시,공립,다정고등학교,2024,0,0,0
세종시,공립,도담고등학교,2024,0,0,0
세종시,공립,두루고등학교,2024,0,0,0
세종시,공립,반곡고등학교,2024,0,0,0
세종시,공립,보람고등학교,2024,0,0,0
세종시,공립,새롬고등학교,2024,0,0,0
세종시,공립,세종고등학교,2024,0,0,0
세종시,사립,세종대성고등학교,2024,0,0,0
세종시,공립,세종여자고등학교,2024,0,0,0
세종시,공립,세종캠퍼스고등학교,2024,0,0,0
세종시,공립,소담고등학교,2024,0,0,0
세종시,공립,아름고등학교,2024,0,0,0
세종시,공립,양지고등학교,2024,0,0,0
세종시,공립,종촌고등학교,2024,0,0,0
세종시,공립,한솔고등학교,2024,0,0,0
세종시,공립,해밀고등학교,2024,0,0,0
세종시,공립,세종과학예술영재학교,2024,0,0,0
세종시,공립,세종예술고등학교,2024,0,0,0
세종시,공립,세종국제고등학교,2024,0,0,0
세종시,공립,세종미래고등학교,2024,1,0,1
세종시,공립,세종장영실고등학교,2024,0,0,0
세종시,공립,고운고등학교,2023,0,0,0
세종시,공립,다정고등학교,2023,0,0,0
세종시,공립,도담고등학교,2023,0,0,0
세종시,공립,두루고등학교,2023,0,0,0
세종시,공립,반곡고등학교,2023,0,0,0
세종시,공립,보람고등학교,2023,1,0,1
세종시,공립,새롬고등학교,2023,0,0,0
세종시,공립,세종고등학교,2023,0,0,0
세종시,사립,세종대성고등학교,2023,0,0,0
세종시,공립,세종여자고등학교,2023,0,0,0
세종시,공립,소담고등학교,2023,0,0,0
세종시,공립,아름고등학교,2023,0,0,0
세종시,공립,양지고등학교,2023,0,0,0
세종시,공립,종촌고등학교,2023,0,0,0
세종시,공립,한솔고등학교,2023,0,0,0
세종시,공립,해밀고등학교,2023,0,0,0
세종시,공립,세종과학예술영재학교,2023,0,0,0
세종시,공립,세종예술고등학교,2023,0,0,0
세종시,공립,세종국제고등학교,2023,0,0,0
세종시,공립,세종미래고등학교,2023,0,0,0
세종시,공립,세종장영실고등학교,2023,0,0,0
