시설유형,시도,시설수,정원,현원
양로시설,서울,9,1073,779
양로시설,부산,5,673,310
양로시설,대구,7,499,283
양로시설,인천,8,294,146
양로시설,광주,2,152,82
양로시설,대전,3,247,93
양로시설,울산,2,114,42
양로시설,세종,1,15,8
양로시설,경기,57,2736,1540
양로시설,강원,6,297,165
양로시설,충북,6,297,217
양로시설,충남,5,168,129
양로시설,전북,7,448,317
양로시설,전남,13,681,456
양로시설,경북,21,1015,636
양로시설,경남,12,768,483
양로시설,제주,2,90,70
노인요양시설,서울,237,14767,13345
노인요양시설,부산,103,7014,5502
노인요양시설,대구,152,9138,7916
노인요양시설,인천,428,20390,16584
노인요양시설,광주,88,3788,3094
노인요양시설,대전,110,7191,5911
노인요양시설,울산,49,2620,2165
노인요양시설,세종,18,825,685
노인요양시설,경기,1664,84734,69462
노인요양시설,강원,236,11252,9138
노인요양시설,충북,239,11043,9214
노인요양시설,충남,264,12430,9968
노인요양시설,전북,184,8627,6974
노인요양시설,전남,253,10329,8289
노인요양시설,경북,329,15644,12408
노인요양시설,경남,226,12639,10648
노인요양시설,제주,60,3934,3135
