시설명,시도,시군구,주소,세대수,입주세대,유형,위도,경도,설치연월
KB골든라이프케어 평창카운티,서울,종로구,종로구 평창문화로 87,164,40,임대,37.6076,126.9671,2023.11
서울시니어스타워 서울본부,서울,중구,중구 다산로 72,144,144,임대,37.5574,127.0099,2015.07
정동 상림원,서울,중구,중구 정동길 21-31,98,98,분양,37.5657,126.9726,2005.12
하이원빌리지,서울,용산구,용산구 한강대로40가길 24,114,77,임대,37.5405,126.9713,2009.02
노블레스타워,서울,성북구,성북구 종암로 90,239,239,혼합,37.5957,127.0296,2008.04
시니어캐슬 클라시온,서울,은평구,은평구 은평로21길 34-5,137,72,분양,37.6186,126.9236,2007.09
상암카이저펠리스,서울,마포구,마포구 월드컵북로47길 34,240,240,분양,37.5691,126.8871,2011.01
서울시니어스타워 가양본부,서울,강서구,강서구 화곡로68길 102,350,337,혼합,37.5584,126.8469,2007.12
서울시니어스타워 강서본부,서울,강서구,강서구 공항대로 315,142,128,분양,37.5583,126.8354,2003.02
서울시니어스타워 강남본부,서울,강남구,강남구 자곡로 100-2,95,93,혼합,37.4716,127.1005,2015.04
더시그넘 하우스,서울,강남구,강남구 자곡로 204-25,170,161,임대,37.4731,127.1057,2017.08
후성누리움,서울,강동구,강동구 명일로 135,51,51,분양,37.5506,127.1363,2007.04
흰돌실버타운,부산,수영구,수영구 연수로260번길 53,291,279,임대,35.1701,129.1114,2000.10
청라백세실버타운,인천,서구,서구 로봇랜드로249번길 14,58,9,임대,37.5329,126.654,1997.12
마리스텔라,인천,서구,서구 심곡로100번길 31,264,254,임대,37.5225,126.6735,2015.01
더시그넘하우스 청라,인천,서구,서구 담지로 60,131,41,임대,37.5262,126.6477,2024.03
사이언스빌리지,대전,유성구,유성구 대덕대로 522,240,193,임대,36.3985,127.3853,2019.10
밀마루복지마을,세종,세종시,세종시 보듬1로 16,100,98,임대,36.505,127.254,2014.11
유당마을,경기,수원시,수원시 장안구 수일로191번길 26,261,261,임대,37.3057,126.9996,2015.07
광교아르데코,경기,수원시,수원시 광교로42번길 80,261,261,분양,37.2895,127.0508,2017.08
광교두산위브,경기,수원시,수원시 영통구 광교중앙로 55,547,547,분양,37.2789,127.0453,2018.05
삼성노블카운티,경기,용인시,용인시 기흥구 덕영대로 1751,555,546,임대,37.2657,127.0734,2001.04
스프링카운티자이,경기,용인시,용인시 기흥구 동백죽전대로 333,1345,1345,분양,37.2438,127.1218,2019.10
성남시 아리움,경기,성남시,성남시 중원구 광명로 46,19,18,임대,37.4507,127.1425,2009.01
서울시니어스타워 분당본부,경기,성남시,성남시 분당구 구미로173번길 47,254,242,혼합,37.3576,127.1095,2003.09
정원속궁전,경기,성남시,성남시 분당구 불정로 112,170,160,혼합,37.3744,127.1193,2005.07
더 헤리티지,경기,성남시,성남시 분당구 대왕판교로 155,390,390,분양,37.3897,127.1195,2009.09
에버그린센터,경기,남양주시,남양주시 수동면 비룡로1782번길 160,51,50,임대,37.7077,127.3386,2019.04
수동시니어타운,경기,남양주시,남양주시 수동면 비룡로 801-88,136,97,임대,37.7052,127.3421,2003.09
벽산블루밍 더클래식,경기,하남시,하남시 하남대로 770,220,220,분양,37.5403,127.2148,2010.07
블레스힐링타운,경기,오산시,오산시 세마역로 49,30,15,임대,37.154,127.0723,2024.07
안성크리스찬 휴빌리지,경기,안성시,안성시 미리내성지로 274-3,76,28,혼합,37.0203,127.0957,2017.03
청심빌리지 실버타운,경기,가평군,가평군 설악면 미사리로 191-16,155,155,임대,37.6912,127.5241,2005.06
생명의빛홈타운,경기,가평군,가평군 설악면 봉미산안길 335,36,34,임대,37.6723,127.5159,2022.01
동해약천온천실버타운,강원,동해시,동해시 석두골길 145,155,80,임대,37.5245,129.0929,2004.12
청주아침햇살실버타운,충북,청주시,청주시 청원구 사뜸로61번길 62,30,18,임대,36.6609,127.4901,2023.09
공주원로원 노인복지주택,충남,공주시,공주시 연수원길 47-30,100,100,혼합,36.4398,127.1189,2016.09
옥성골든카운티,전북,전주시,전주시 완산구 중인1길 136-20,446,446,분양,35.8219,127.1237,2003.05
부영노인전용주택,전북,김제시,김제시 하동1길 79-1,150,127,임대,35.8031,126.8812,2000.10
내장산실버아파트,전북,정읍시,정읍시 금붕1길 190,147,142,혼합,35.5701,126.8583,2011.11
서울시니어스타워 고창타워,전북,고창군,고창읍 석정2로 140,539,516,혼합,35.4339,126.7022,2017.10
월명성모의집 노인복지주택,경북,김천시,김천시 남면 주천로 1448-16,100,95,임대,36.0796,128.0683,1999.08
에코뷰카운티(실버타운),경남,양산시,양산시 원동면 배내로 589,30,1,임대,35.4051,129.0483,2021.10
