국적,연령대,값,데이터기준일자
가나,0-4세,0,2026-05-31
가나,05-09세,0,2026-05-31
가나,10-14세,0,2026-05-31
가나,15-19세,0,2026-05-31
가나,20-24세,0,2026-05-31
가나,25-29세,0,2026-05-31
가나,30-34세,0,2026-05-31
가나,35-39세,1,2026-05-31
가나,40-44세,0,2026-05-31
가나,45-49세,0,2026-05-31
가나,50-54세,0,2026-05-31
가나,55-59세,1,2026-05-31
가나,60-64세,0,2026-05-31
가나,65-69세,0,2026-05-31
가나,70-74세,0,2026-05-31
가나,75-79세,0,2026-05-31
가나,80-84세,0,2026-05-31
가나,85-89세,0,2026-05-31
가나,90-94세,0,2026-05-31
감비아,0-4세,0,2026-05-31
감비아,05-09세,0,2026-05-31
감비아,10-14세,0,2026-05-31
감비아,15-19세,0,2026-05-31
감비아,20-24세,0,2026-05-31
감비아,25-29세,0,2026-05-31
감비아,30-34세,1,2026-05-31
감비아,35-39세,0,2026-05-31
감비아,40-44세,0,2026-05-31
감비아,45-49세,0,2026-05-31
감비아,50-54세,0,2026-05-31
감비아,55-59세,0,2026-05-31
감비아,60-64세,0,2026-05-31
감비아,65-69세,0,2026-05-31
감비아,70-74세,0,2026-05-31
감비아,75-79세,0,2026-05-31
감비아,80-84세,0,2026-05-31
감비아,85-89세,0,2026-05-31
감비아,90-94세,0,2026-05-31
그리스,0-4세,0,2026-05-31
그리스,05-09세,3,2026-05-31
그리스,10-14세,1,2026-05-31
그리스,15-19세,0,2026-05-31
그리스,20-24세,2,2026-05-31
그리스,25-29세,10,2026-05-31
그리스,30-34세,3,2026-05-31
그리스,35-39세,6,2026-05-31
그리스,40-44세,9,2026-05-31
그리스,45-49세,4,2026-05-31
그리스,50-54세,2,2026-05-31
그리스,55-59세,2,2026-05-31
그리스,60-64세,4,2026-05-31
그리스,65-69세,0,2026-05-31
그리스,70-74세,2,2026-05-31
그리스,75-79세,1,2026-05-31
그리스,80-84세,1,2026-05-31
그리스,85-89세,0,2026-05-31
그리스,90-94세,0,2026-05-31
나이지리아,0-4세,0,2026-05-31
나이지리아,05-09세,0,2026-05-31
나이지리아,10-14세,0,2026-05-31
나이지리아,15-19세,0,2026-05-31
나이지리아,20-24세,0,2026-05-31
나이지리아,25-29세,0,2026-05-31
나이지리아,30-34세,0,2026-05-31
나이지리아,35-39세,1,2026-05-31
나이지리아,40-44세,0,2026-05-31
나이지리아,45-49세,0,2026-05-31
나이지리아,50-54세,0,2026-05-31
나이지리아,55-59세,0,2026-05-31
나이지리아,60-64세,0,2026-05-31
나이지리아,65-69세,0,2026-05-31
나이지리아,70-74세,0,2026-05-31
나이지리아,75-79세,0,2026-05-31
나이지리아,80-84세,0,2026-05-31
나이지리아,85-89세,0,2026-05-31
나이지리아,90-94세,0,2026-05-31
남아프리카공화국,0-4세,0,2026-05-31
남아프리카공화국,05-09세,0,2026-05-31
남아프리카공화국,10-14세,0,2026-05-31
남아프리카공화국,15-19세,0,2026-05-31
남아프리카공화국,20-24세,0,2026-05-31
남아프리카공화국,25-29세,13,2026-05-31
남아프리카공화국,30-34세,14,2026-05-31
남아프리카공화국,35-39세,6,2026-05-31
남아프리카공화국,40-44세,6,2026-05-31
남아프리카공화국,45-49세,0,2026-05-31
남아프리카공화국,50-54세,1,2026-05-31
남아프리카공화국,55-59세,4,2026-05-31
남아프리카공화국,60-64세,1,2026-05-31
남아프리카공화국,65-69세,1,2026-05-31
남아프리카공화국,70-74세,0,2026-05-31
남아프리카공화국,75-79세,0,2026-05-31
남아프리카공화국,80-84세,0,2026-05-31
남아프리카공화국,85-89세,0,2026-05-31
남아프리카공화국,90-94세,0,2026-05-31
네덜란드,0-4세,0,2026-05-31
네덜란드,05-09세,0,2026-05-31
네덜란드,10-14세,0,2026-05-31
네덜란드,15-19세,0,2026-05-31
네덜란드,20-24세,0,2026-05-31
네덜란드,25-29세,0,2026-05-31
네덜란드,30-34세,0,2026-05-31
네덜란드,35-39세,0,2026-05-31
네덜란드,40-44세,3,2026-05-31
네덜란드,45-49세,0,2026-05-31
네덜란드,50-54세,0,2026-05-31
네덜란드,55-59세,0,2026-05-31
네덜란드,60-64세,0,2026-05-31
네덜란드,65-69세,1,2026-05-31
네덜란드,70-74세,1,2026-05-31
네덜란드,75-79세,1,2026-05-31
네덜란드,80-84세,1,2026-05-31
네덜란드,85-89세,0,2026-05-31
네덜란드,90-94세,0,2026-05-31
네팔,0-4세,8,2026-05-31
네팔,05-09세,2,2026-05-31
네팔,10-14세,2,2026-05-31
네팔,15-19세,0,2026-05-31
네팔,20-24세,130,2026-05-31
네팔,25-29세,282,2026-05-31
네팔,30-34세,406,2026-05-31
네팔,35-39세,488,2026-05-31
네팔,40-44세,175,2026-05-31
네팔,45-49세,22,2026-05-31
네팔,50-54세,2,2026-05-31
네팔,55-59세,0,2026-05-31
네팔,60-64세,0,2026-05-31
네팔,65-69세,0,2026-05-31
네팔,70-74세,0,2026-05-31
네팔,75-79세,0,2026-05-31
네팔,80-84세,0,2026-05-31
네팔,85-89세,0,2026-05-31
네팔,90-94세,0,2026-05-31
노르웨이,0-4세,0,2026-05-31
노르웨이,05-09세,0,2026-05-31
노르웨이,10-14세,0,2026-05-31
노르웨이,15-19세,0,2026-05-31
노르웨이,20-24세,0,2026-05-31
노르웨이,25-29세,1,2026-05-31
노르웨이,30-34세,2,2026-05-31
노르웨이,35-39세,2,2026-05-31
노르웨이,40-44세,0,2026-05-31
노르웨이,45-49세,3,2026-05-31
노르웨이,50-54세,2,2026-05-31
노르웨이,55-59세,0,2026-05-31
노르웨이,60-64세,6,2026-05-31
노르웨이,65-69세,0,2026-05-31
노르웨이,70-74세,1,2026-05-31
노르웨이,75-79세,0,2026-05-31
노르웨이,80-84세,0,2026-05-31
노르웨이,85-89세,0,2026-05-31
노르웨이,90-94세,0,2026-05-31
노르웨이,90-95세,1,2026-05-31
뉴질랜드,0-4세,0,2026-05-31
뉴질랜드,05-09세,0,2026-05-31
뉴질랜드,10-14세,0,2026-05-31
뉴질랜드,15-19세,0,2026-05-31
뉴질랜드,20-24세,0,2026-05-31
뉴질랜드,25-29세,0,2026-05-31
뉴질랜드,30-34세,0,2026-05-31
뉴질랜드,35-39세,1,2026-05-31
뉴질랜드,40-44세,0,2026-05-31
뉴질랜드,45-49세,1,2026-05-31
뉴질랜드,50-54세,3,2026-05-31
뉴질랜드,55-59세,1,2026-05-31
뉴질랜드,60-64세,0,2026-05-31
뉴질랜드,65-69세,1,2026-05-31
