년,월,국적지역,체류외국인수
2022,01,한국계중국인,612303
2022,01,중국,223121
2022,01,베트남,206728
2022,01,태국,171364
2022,01,우즈베키스탄,66612
2022,01,필리핀,46591
2022,01,캄보디아,41673
2022,01,네팔,37116
2022,01,몽골,37010
2022,01,인도네시아,34565
2022,01,카자흐스탄,29442
2022,01,일본,27972
2022,01,미얀마,25858
2022,01,스리랑카,20440
2022,01,타이완,18420
2022,01,방글라데시,16540
2022,01,파키스탄,12429
2022,01,인도,11638
2022,01,키르기즈,6461
2022,01,말레이시아,4897
2022,01,티모르민주공화국,2419
2022,01,홍콩,2285
2022,01,터키,1952
2022,01,이란,1891
2022,01,라오스,1718
2022,01,시리아,1547
2022,01,타지키스탄,1321
2022,01,싱가포르,1194
2022,01,예멘공화국,1082
2022,01,사우디아라비아,863
2022,01,아프가니스탄,838
2022,01,이라크,517
2022,01,아랍에미리트연합,500
2022,01,요르단,498
2022,01,투르크메니스탄,427
2022,01,이스라엘,204
2022,01,마카오,104
2022,01,브루나이,70
2022,01,쿠웨이트,64
2022,01,팔레스타인,60
2022,01,오만,48
2022,01,레바논,43
2022,01,카타르,42
2022,01,부탄,37
2022,01,키프로스,31
2022,01,홍콩거주난민,15
2022,01,바레인,11
2022,01,몰디브,2
2022,01,미국,140649
2022,01,캐나다,22680
2022,01,브라질,1559
2022,01,멕시코,938
2022,01,페루,709
2022,01,콜롬비아,515
2022,01,아르헨티나,457
2022,01,에콰도르,272
2022,01,칠레,256
2022,01,파라과이,208
2022,01,베네수엘라,204
2022,01,과테말라,115
2022,01,도미니카공화국,100
2022,01,코스타리카,94
2022,01,파나마,80
2022,01,볼리비아,73
2022,01,온두라스,72
2022,01,자메이카,60
2022,01,엘살바도르,53
2022,01,니카라과,47
2022,01,아이티,41
2022,01,우루과이,40
2022,01,쿠바,37
2022,01,트리니다드토바고,23
2022,01,도미니카연방,18
2022,01,세인트크리스토퍼네비스,16
2022,01,벨리즈,8
2022,01,바베이도스,8
2022,01,수리남,6
2022,01,바하마,5
2022,01,가이아나,5
2022,01,세인트루시아,3
2022,01,앤티카바부다,1
2022,01,세인트빈센트그레나딘,1
2022,01,그레나다,1
2022,01,한국계러시아인,27504
2022,01,러시아연방,21026
2022,01,영국,6344
2022,01,프랑스,4173
2022,01,우크라이나,3843
2022,01,독일,3705
2022,01,스페인,1149
2022,01,이탈리아,1115
2022,01,네덜란드,768
2022,01,아일랜드,697
2022,01,스웨덴,654
2022,01,폴란드,560
2022,01,벨기에,489
2022,01,스위스,481
2022,01,루마니아,381
2022,01,노르웨이,364
2022,01,덴마크,339
2022,01,오스트리아,304
2022,01,그리스,296
2022,01,벨로루시,283
2022,01,아제르바이잔,244
2022,01,핀란드,224
2022,01,헝가리,195
2022,01,체코,175
2022,01,포르투갈,173
2022,01,불가리아,166
2022,01,크로아티아,141
2022,01,리투아니아,117
2022,01,조지아,111
2022,01,라트비아,98
2022,01,슬로바크,91
2022,01,영국외지민,75
2022,01,세르비아,73
2022,01,아르메니아,70
2022,01,슬로베니아,51
2022,01,몰도바,49
2022,01,에스토니아,46
2022,01,알바니아,42
2022,01,룩셈부르크,21
2022,01,몰타,17
2022,01,마케도니아,14
2022,01,아이슬란드,12
2022,01,보스니아헤르체고비나,10
2022,01,몬테네그로,10
2022,01,코소보,5
2022,01,안도라,2
2022,01,교황청,2
2022,01,유고슬라비아,1
2022,01,영국외지시민,1
2022,01,영국속령지시민,1
2022,01,스발바르,1
2022,01,세르비아몬테네그로,1
2022,01,산마리노,1
2022,01,오스트레일리아,7518
2022,01,뉴질랜드,3451
2022,01,피지,73
2022,01,마샬군도,14
2022,01,파푸아뉴기니,13
2022,01,바누아투,12
2022,01,팔라우,10
2022,01,미이크로네시아,10
2022,01,솔로몬군도,6
2022,01,통가,5
2022,01,사모아,5
2022,01,나우루,5
2022,01,키리바시,1
2022,01,이집트,2833
2022,01,나이지리아,2764
2022,01,남아프리카공화국,2653
2022,01,모로코,1407
2022,01,가나,1361
2022,01,에티오피아,1044
2022,01,카메룬,879
2022,01,리비아,650
2022,01,우간다,523
2022,01,라이베리아,523
2022,01,알제리,464
2022,01,케냐,405
2022,01,세네갈,327
2022,01,튀니지,323
2022,01,탄자니아,306
2022,01,수단,278
2022,01,기니,273
2022,01,르완다,262
2022,01,콩고민주공화국,258
2022,01,말리,218
2022,01,코트디부아르,208
2022,01,앙골라,142
2022,01,부룬디,135
2022,01,감비아,131
2022,01,짐바브웨,116
2022,01,시에라리온,91
2022,01,잠비아,90
2022,01,가봉,81
2022,01,모잠비크,61
2022,01,부르키나파소,51
2022,01,토고,49
2022,01,콩고,32
2022,01,마다가스카르,31
2022,01,말라위,27
2022,01,남수단공화국,27
2022,01,소말리아,24
2022,01,베냉,24
2022,01,기니비사우,23
2022,01,에스와티니,20
2022,01,모리셔스,20
2022,01,보츠와나,18
2022,01,모리타니,16
2022,01,에리트레아,14
2022,01,차드,12
2022,01,중앙아프리카공화국,10
2022,01,적도기니,10
2022,01,니제르,9
2022,01,자이르,7
2022,01,레소토,5
2022,01,지부티,4
2022,01,세이셸,3
2022,01,상투메프린시페,2
2022,01,나미비아,2
2022,01,코모로,1
2022,01,카보베르데,1
2022,01,무국적,143
2022,01,미등록국가,59
2022,01,국제연합,51
2022,01,미상,1
2022,01,기타,2
2022,02,한국계중국인,611103
2022,02,중국,225591
2022,02,베트남,205695
2022,02,태국,171486
2022,02,우즈베키스탄,66596
2022,02,필리핀,46643
2022,02,캄보디아,41960
2022,02,몽골,37404
2022,02,네팔,37216
2022,02,인도네시아,35684
2022,02,카자흐스탄,29251
2022,02,일본,29238
2022,02,미얀마,26161
2022,02,스리랑카,20381
2022,02,타이완,18801
2022,02,방글라데시,16776
2022,02,파키스탄,12440
2022,02,인도,11837
2022,02,키르기즈,6450
2022,02,말레이시아,5200
2022,02,티모르민주공화국,2462
2022,02,홍콩,2429
2022,02,터키,2092
2022,02,이란,1939
2022,02,라오스,1787
2022,02,시리아,1555
2022,02,싱가포르,1451
2022,02,타지키스탄,1303
2022,02,예멘공화국,1085
2022,02,사우디아라비아,933
2022,02,아프가니스탄,850
2022,02,아랍에미리트연합,575
2022,02,이라크,544
2022,02,요르단,524
2022,02,투르크메니스탄,443
2022,02,이스라엘,245
2022,02,브루나이,123
2022,02,마카오,102
2022,02,쿠웨이트,67
2022,02,팔레스타인,66
2022,02,오만,51
2022,02,레바논,45
2022,02,카타르,43
2022,02,부탄,39
2022,02,키프로스,33
2022,02,홍콩거주난민,15
2022,02,바레인,12
2022,02,몰디브,2
2022,02,미국,143463
2022,02,캐나다,22964
2022,02,브라질,1649
2022,02,멕시코,1107
2022,02,페루,728
2022,02,콜롬비아,555
2022,02,아르헨티나,465
2022,02,칠레,295
2022,02,에콰도르,278
2022,02,파라과이,211
2022,02,베네수엘라,211
2022,02,과테말라,120
2022,02,코스타리카,99
2022,02,도미니카공화국,99
2022,02,파나마,86
2022,02,볼리비아,79
2022,02,온두라스,76
2022,02,자메이카,60
2022,02,엘살바도르,57
2022,02,니카라과,46
2022,02,우루과이,44
2022,02,아이티,42
2022,02,쿠바,40
2022,02,트리니다드토바고,24
2022,02,세인트크리스토퍼네비스,18
2022,02,도미니카연방,18
2022,02,벨리즈,8
2022,02,바베이도스,7
2022,02,수리남,6
2022,02,바하마,5
2022,02,가이아나,5
2022,02,세인트루시아,3
2022,02,앤티카바부다,1
2022,02,세인트빈센트그레나딘,1
2022,02,그레나다,1
2022,02,한국계러시아인,27665
2022,02,러시아연방,21274
2022,02,영국,6716
2022,02,프랑스,5695
2022,02,독일,4638
2022,02,우크라이나,3831
2022,02,이탈리아,1341
2022,02,스페인,1292
2022,02,네덜란드,1097
2022,02,스웨덴,760
2022,02,아일랜드,745
2022,02,폴란드,657
2022,02,벨기에,592
2022,02,스위스,557
2022,02,노르웨이,407
2022,02,덴마크,395
2022,02,오스트리아,391
2022,02,루마니아,387
2022,02,핀란드,367
2022,02,그리스,310
2022,02,벨로루시,298
2022,02,아제르바이잔,263
2022,02,헝가리,229
2022,02,체코,221
2022,02,포르투갈,198
