대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8,E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타
아시아주,한국계중국인,남성,0,0,0,18,0,1892,0,0,109,126,15,0,1,3,21,0,2,1,0,0,0,0,0,6,0,287,1,3365,5798,498,197219,75933,6835,84,0,45276,0,493
아시아주,한국계중국인,여성,0,0,0,17,1,1490,0,2,117,71,10,0,0,1,7,1,3,1,0,1,0,0,0,5,0,219,0,4098,7208,515,193643,54071,9081,36,0,34545,0,151
아시아주,중국,남성,175,89,0,12131,0,35991,1111,6,27787,385,3116,12,8,224,1527,403,956,75,17,240,0,0,106,6073,42,1677,1220,10166,8254,2631,0,13199,4967,2346,0,0,202,524
아시아주,중국,여성,171,47,0,10342,0,34022,84,6,40065,110,4181,10,35,75,482,44,1933,55,220,114,0,0,68,3449,28,209,0,16098,15050,4984,0,24252,21207,1919,0,0,269,493
아시아주,베트남,남성,67,24,44,903,0,19355,212,2,17423,318,29983,2,47,18,201,58,3345,24,0,203,0,0,20,10687,7652,37630,9670,13063,2966,1423,0,831,4984,715,0,0,1,1214
아시아주,베트남,여성,59,34,24,455,0,11923,122,1,23936,77,26000,0,148,0,103,75,5138,15,4,112,0,0,8,910,5889,3917,0,20066,2897,3030,1,1717,35145,422,0,0,0,623
아시아주,타이,남성,20,45,60851,30,0,296,4,1,143,20,63,0,11,2,91,12,64,6,0,8,3,3,28,2279,130,23043,0,304,78,62,1,19,143,108,0,0,7,130
아시아주,타이,여성,33,25,81803,24,0,666,4,1,448,12,387,0,0,1,86,5,41,1,1,7,0,0,42,322,133,5193,0,927,186,231,5,606,9014,389,0,0,5,167
아시아주,우즈베키스탄,남성,31,12,1,72,0,2146,17,0,11108,81,2098,0,1,4,105,100,1447,8,0,9,0,0,45,2178,244,14612,0,3192,1125,1876,14519,1454,240,1204,0,4046,0,454
아시아주,우즈베키스탄,여성,36,16,0,6,0,472,2,0,1946,2,260,0,0,0,8,7,216,4,3,1,0,0,4,68,28,201,0,3542,908,2998,14376,1685,1836,121,0,3620,0,98
아시아주,네팔,남성,7,10,0,271,0,668,27,0,5418,15,193,0,81,1,61,19,248,16,0,64,0,0,1,7674,486,42964,0,150,691,595,0,149,201,418,0,0,0,719
아시아주,네팔,여성,7,11,0,14,0,182,3,0,3449,2,188,0,24,0,9,4,160,3,0,15,0,0,1,175,152,4144,0,317,252,3518,0,71,552,115,0,0,0,126
아시아주,인도네시아,남성,28,45,0,743,0,4601,98,1,837,77,116,0,24,13,11,25,76,10,0,54,3,2,9,3244,84,39490,9966,39,116,222,229,59,130,245,0,0,5,64
아시아주,인도네시아,여성,45,56,0,277,0,6005,2,0,1467,21,312,0,57,6,9,3,123,6,1,28,0,0,25,320,10,1268,1,112,147,625,52,210,1151,139,0,0,9,27
아시아주,필리핀,남성,29,46,3,919,0,6180,110,0,244,118,117,0,111,10,24,64,17,22,0,31,5,3,178,1943,2944,22849,35,610,219,193,9,70,608,301,0,0,1,421
아시아주,필리핀,여성,33,47,1,631,0,7596,21,0,389,59,157,0,103,4,11,10,46,31,1,14,0,0,1684,286,1510,2537,9,2473,392,465,4,643,11421,366,0,0,2,1012
아시아주,일본,남성,112,97,16,13768,2,14,217,2,394,0,160,39,25,148,1515,47,12,39,24,143,1,9,190,216,0,0,0,97,174,309,202,631,912,5,94,0,259,23
