대륙,국적,성별,D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),기타(Other)
아시아주,베트남,남성,2,17385,280,27156,2,45,18,201,54,3345,24,0,202,0,0,20,10567,6363,36651,9540,12857,2960,1408,831,4958,713,0,0,1203
아시아주,베트남,여성,1,23899,45,23043,0,146,0,99,75,5138,15,4,112,0,0,6,909,4844,3827,0,19639,2888,2988,1707,34388,422,0,0,601
아시아주,한국계중국인,남성,0,109,66,15,0,1,1,21,0,2,1,0,0,0,0,0,6,0,286,1,3278,5796,495,75921,6835,82,0,44573,272
아시아주,한국계중국인,여성,1,117,46,10,0,0,1,5,1,3,1,0,1,0,0,0,5,0,218,0,3895,7208,512,54058,9059,36,0,33996,54
아시아주,중국,남성,6,27727,299,2882,12,8,219,1512,378,956,75,17,236,0,0,104,5775,38,1610,1106,9970,8236,2573,13187,4945,2340,0,0,544
아시아주,중국,여성,6,40012,80,3965,10,34,71,478,44,1929,55,218,113,0,0,63,3383,21,207,0,15813,15015,4853,24238,21107,1919,0,0,504
아시아주,네팔,남성,0,5412,1,189,0,76,1,59,19,248,16,0,64,0,0,1,7664,343,42258,0,145,691,571,149,197,418,0,0,719
아시아주,네팔,여성,0,3448,0,188,0,22,0,9,4,160,3,0,15,0,0,1,174,104,4051,0,305,252,3322,70,538,115,0,0,129
아시아주,우즈베키스탄,남성,0,11034,57,1774,0,1,4,105,98,1444,8,0,9,0,0,39,2173,194,14262,0,3154,1114,1811,1453,234,1201,0,3967,451
아시아주,우즈베키스탄,여성,0,1937,0,220,0,0,0,8,7,214,4,3,1,0,0,3,68,22,193,0,3497,901,2857,1649,1775,121,0,3553,113
아시아주,캄보디아,남성,0,173,0,62,0,4,3,9,1,21,0,0,8,0,0,0,2564,691,36357,0,951,147,89,40,916,39,0,0,93
아시아주,캄보디아,여성,0,189,0,58,0,2,3,0,1,24,0,0,4,0,0,0,275,535,11748,0,1636,136,294,95,3748,30,0,0,60
아시아주,인도네시아,남성,1,837,40,111,0,24,13,11,23,76,10,0,54,3,2,9,3220,76,36938,9843,32,115,219,59,129,245,0,0,120
아시아주,인도네시아,여성,0,1461,10,307,0,56,6,9,3,123,6,1,28,0,0,24,318,10,1237,0,102,147,598,209,1140,139,0,0,104
아시아주,미얀마,남성,0,731,6,1141,0,29,0,4,1,73,2,0,5,0,0,1,2830,2,32140,999,26,311,92,17,67,5803,0,0,105
아시아주,미얀마,여성,3,2512,0,2826,0,77,0,3,1,202,0,0,17,0,0,3,69,1,4,0,73,285,399,35,324,755,0,0,60
아시아주,필리핀,남성,0,244,61,108,0,110,10,24,62,17,22,0,31,5,3,147,1941,2338,22461,35,581,198,187,70,603,301,0,0,422
아시아주,필리핀,여성,0,387,45,147,0,99,4,11,10,46,31,1,14,0,0,1463,286,1080,2488,9,2307,374,449,605,11137,366,0,0,651
아시아주,타이,남성,1,141,9,56,0,11,2,91,12,64,6,0,8,3,3,28,2270,102,22011,0,301,77,62,18,143,107,0,0,145
아시아주,타이,여성,1,446,12,349,0,0,1,86,5,40,1,1,7,0,0,41,319,106,4961,0,906,186,227,600,8956,388,0,0,149
아시아주,몽골,남성,1,3605,0,2998,0,27,14,86,60,486,3,1,12,0,0,68,352,190,3233,0,550,618,2396,161,228,1490,0,0,291
아시아주,몽골,여성,2,6851,0,3347,0,8,5,56,161,1121,6,0,25,0,0,41,246,200,789,0,839,923,1890,676,1870,1432,0,0,306
아시아주,스리랑카,남성,0,222,9,74,0,58,1,15,4,47,0,0,16,1,0,1,4963,7,22970,13,64,295,447,58,297,529,0,0,688
아시아주,스리랑카,여성,0,388,4,122,0,4,0,2,0,19,0,0,8,0,0,0,47,0,287,0,117,72,1878,15,74,100,0,0,49
아시아주,일본,남성,2,394,0,157,38,24,148,1509,47,12,39,24,143,1,9,189,215,0,0,0,89,173,307,631,907,5,93,0,198
아시아주,일본,여성,0,2431,0,1276,7,23,20,93,4,148,32,99,11,0,0,206,367,0,0,1,157,377,821,6402,8599,8,1305,0,264
아시아주,방글라데시,남성,0,2128,58,159,0,32,3,52,11,165,19,0,70,0,0,1,3723,2,13432,0,125,791,812,199,203,758,0,0,896
아시아주,방글라데시,여성,0,626,0,59,0,1,0,3,0,29,2,0,21,0,0,0,22,0,76,0,300,291,2492,47,139,82,0,0,46
아시아주,카자흐스탄,남성,0,334,0,97,1,0,0,26,3,17,1,0,2,0,0,10,29,1,27,0,2354,170,665,324,32,3518,0,2592,178
아시아주,카자흐스탄,여성,0,843,0,268,0,0,0,8,0,70,3,4,5,0,0,5,61,2,2,0,2766,293,832,268,600,1991,0,1960,120
