구분,직장(재외국민 가입자),직장(재외국민 피부양자),직장(외국인 가입자),직장(외국인 피부양자),지역(재외국민 가입자),지역(재외국민 세대수),지역(외국인 가입자),지역(외국인 세대수)
서울,5023,2013,94717,37489,3574,2542,172459,148959
부산,463,270,18034,5260,604,415,20559,17796
대구,203,118,11269,4011,228,156,12794,10330
인천,577,334,34940,15267,600,422,42937,32173
광주,66,48,6602,3023,103,74,13929,11249
대전,170,98,6435,2996,141,98,13684,12318
울산,54,42,12975,3688,72,46,7781,6034
세종,54,27,3199,979,53,35,2239,1883
경기,3487,1955,221843,74479,3393,2278,223369,175310
강원,208,117,8215,2633,325,234,10669,8931
충북,168,67,27955,7071,184,125,17944,14558
충남,218,110,41203,12567,317,222,40935,33092
전북,136,78,12733,3692,166,109,16361,13861
전남,96,57,17229,3932,202,143,16577,13798
경북,179,114,24588,6534,277,195,24465,19874
경남,217,115,43180,8782,328,222,23909,19183
제주,237,128,7498,1930,347,244,7578,6177
