사업명,선발년도,년도별선발인원,누적선발인원
BRICs and ABC 국가 대학생 초청연수,2005,20,20
BRICs and ABC 국가 대학생 초청연수,2006,30,50
BRICs and ABC 국가 대학생 초청연수,2007,35,85
BRICs and ABC 국가 대학생 초청연수,2008,35,120
EPIK(English Program In Korea),2007,300,300
EPIK(English Program In Korea),2008,1184,1484
EPIK(English Program In Korea),2009,1272,2756
GKS 우수교환학생 선발관리,2010,718,718
GKS 우수교환학생 선발관리,2011,297,1015
GKS 우수교환학생 선발관리,2012,289,1304
GKS 우수교환학생 선발관리,2013,566,1870
GKS 우수교환학생 선발관리,2014,774,2644
GKS 우수교환학생 선발관리,2015,495,3139
GKS 우수교환학생 선발관리,2016,290,3429
GKS 우수교환학생 선발관리,2017,344,3773
GKS 우수교환학생 선발관리,2018,361,4134
GKS 우수교환학생 선발관리,2019,365,4499
GKS 우수교환학생 선발관리,2020,149,4648
GKS 우수교환학생 선발관리,2021,371,5019
GKS 우수교환학생 선발관리,2022,354,5373
GKS 우수교환학생 선발관리,2023,399,5772
GKS 우수교환학생 선발관리,2024,596,6368
GKS 우수교환학생 선발관리,2025,591,6959
GKS 우수자비유학생 선발관리,2010,436,436
GKS 우수자비유학생 선발관리,2011,735,1171
GKS 우수자비유학생 선발관리,2012,200,1371
GKS 우수자비유학생 선발관리,2013,467,1838
GKS 우수자비유학생 선발관리,2014,443,2281
GKS 우수자비유학생 선발관리,2015,400,2681
GKS 우수자비유학생 선발관리,2016,200,2881
GKS 우수자비유학생 선발관리,2017,170,3051
GKS 우수자비유학생 선발관리,2018,200,3251
GKS 우수자비유학생 선발관리,2019,200,3451
GKS 우수자비유학생 선발관리,2020,250,3701
GKS 우수자비유학생 선발관리,2021,250,3951
GKS 우수자비유학생 선발관리,2022,250,4201
GKS 우수자비유학생 선발관리,2023,351,4552
GKS 초청학생지원사업,2022,296,296
GKS 초청학생지원사업,2023,371,667
GKS 한인도장학생,2012,1,1
TOPIK 성적우수자 초청 연수,2017,15,15
TOPIK 성적우수자 초청 연수,2018,15,30
TOPIK 성적우수자 초청 연수,2019,15,45
개발도상국가 동포대학생 초청연수,2002,109,109
개발도상국가 동포대학생 초청연수,2003,105,214
개발도상국가 동포대학생 초청연수,2004,114,328
개발도상국가 동포대학생 초청연수,2005,77,405
교원해외파견,2013,28,28
교원해외파견,2014,17,45
교원해외파견,2015,10,55
교원해외파견,2016,122,177
교원해외파견,2017,58,235
교원해외파견,2018,67,302
교원해외파견,2019,43,345
교원해외파견,2021,20,365
교원해외파견,2022,24,389
교원해외파견,2023,19,408
교원해외파견,2024,2,410
국비유학생 선발파견,1977,12,12
국비유학생 선발파견,1978,49,61
국비유학생 선발파견,1979,87,148
국비유학생 선발파견,1980,49,197
국비유학생 선발파견,1981,49,246
국비유학생 선발파견,1982,100,346
국비유학생 선발파견,1983,101,447
국비유학생 선발파견,1984,68,515
국비유학생 선발파견,1985,95,610
국비유학생 선발파견,1986,93,703
국비유학생 선발파견,1987,86,789
국비유학생 선발파견,1988,117,906
국비유학생 선발파견,1989,117,1023
국비유학생 선발파견,1990,90,1113
국비유학생 선발파견,1991,91,1204
국비유학생 선발파견,1992,61,1265
국비유학생 선발파견,1993,54,1319
국비유학생 선발파견,1994,57,1376
국비유학생 선발파견,1995,58,1434
국비유학생 선발파견,1996,33,1467
국비유학생 선발파견,1997,51,1518
국비유학생 선발파견,1998,37,1555
국비유학생 선발파견,1999,34,1589
국비유학생 선발파견,2000,38,1627
국비유학생 선발파견,2001,35,1662
국비유학생 선발파견,2002,34,1696
국비유학생 선발파견,2003,20,1716
국비유학생 선발파견,2004,26,1742
국비유학생 선발파견,2005,34,1776
국비유학생 선발파견,2006,36,1812
국비유학생 선발파견,2007,37,1849
국비유학생 선발파견,2008,41,1890
국비유학생 선발파견,2009,40,1930
국비유학생 선발파견,2010,70,2000
국비유학생 선발파견,2011,45,2045
국비유학생 선발파견,2012,40,2085
국비유학생 선발파견,2013,56,2141
국비유학생 선발파견,2014,67,2208
국비유학생 선발파견,2015,95,2303
국비유학생 선발파견,2016,34,2337
국비유학생 선발파견,2017,34,2371
국비유학생 선발파견,2018,66,2437
국비유학생 선발파견,2019,65,2502
국비유학생 선발파견,2020,63,2565
국비유학생 선발파견,2021,64,2629
국비유학생 선발파견,2022,61,2690
국비유학생 선발파견,2023,68,2758
국비유학생 선발파견,2024,58,2816
국비유학생 선발파견,2025,61,2877
단기교육전기과정,1982,8,8
단기교육전기과정,1983,6,14
단기교육전기과정,1984,12,26
단기교육전기과정,1985,15,41
단기교육전기과정,1986,14,55
단기교육전기과정,1987,11,66
단기교육전기과정,1988,25,91
단기교육전기과정,1989,19,110
단기교육전기과정,1990,25,135
단기교육전기과정,1991,24,159
단기교육전기과정,1992,15,174
단기교육전기과정,1993,18,192
단기교육전기과정,1994,32,224
단기교육전기과정,1995,42,266
단기교육전기과정,1996,41,307
단기교육전기과정,1997,35,342
단기교육전기과정,1998,44,386
단기교육전기과정,1999,34,420
단기교육전기과정,2000,31,451
단기교육전기과정,2001,41,492
단기교육전기과정,2002,44,536
단기교육전기과정,2003,29,565
단기교육전기과정,2004,15,580
단기교육전기과정,2005,23,603
단기교육전기과정,2006,33,636
단기교육전기과정,2007,39,675
단기교육후기과정,1977,7,7
단기교육후기과정,1981,18,25
단기교육후기과정,1982,18,43
단기교육후기과정,1983,17,60
단기교육후기과정,1984,16,76
단기교육후기과정,1985,25,101
단기교육후기과정,1986,18,119
단기교육후기과정,1987,12,131
단기교육후기과정,1988,23,154
단기교육후기과정,1989,29,183
단기교육후기과정,1990,36,219
단기교육후기과정,1991,40,259
단기교육후기과정,1992,40,299
단기교육후기과정,1993,78,377
단기교육후기과정,1994,74,451
단기교육후기과정,1995,84,535
단기교육후기과정,1996,81,616
단기교육후기과정,1997,78,694
단기교육후기과정,1998,79,773
단기교육후기과정,1999,61,834
단기교육후기과정,2000,69,903
단기교육후기과정,2001,80,983
단기교육후기과정,2002,69,1052
단기교육후기과정,2003,75,1127
단기교육후기과정,2004,83,1210
단기교육후기과정,2005,62,1272
단기교육후기과정,2006,64,1336
단기교육후기과정,2007,75,1411
동남아시아 대학생 초청연수,2006,40,40
동남아시아 대학생 초청연수,2007,40,80
동남아시아 대학생 초청연수,2008,38,118
문화협정에 의한 제2외국어 교원 연수,2000,73,73
문화협정에 의한 제2외국어 교원 연수,2001,95,168
문화협정에 의한 제2외국어 교원 연수,2002,96,264
문화협정에 의한 제2외국어 교원 연수,2003,114,378
문화협정에 의한 제2외국어 교원 연수,2004,104,482
문화협정에 의한 제2외국어 교원 연수,2005,120,602
문화협정에 의한 제2외국어 교원 연수,2006,69,671
문화협정에 의한 제2외국어 교원 연수,2007,45,716
문화협정에 의한 제2외국어 교원 연수,2008,60,776
문화협정에 의한 제2외국어 교원 연수,2009,110,886
문화협정에 의한 제2외국어 교원 연수,2010,116,1002
문화협정에 의한 제2외국어 교원 연수,2011,85,1087
문화협정에 의한 제2외국어 교원 연수,2012,103,1190
문화협정에 의한 제2외국어 교원 연수,2013,108,1298
문화협정에 의한 제2외국어 교원 연수,2014,97,1395
문화협정에 의한 제2외국어 교원 연수,2015,88,1483
문화협정에 의한 제2외국어 교원 연수,2016,74,1557
